learn_ft_3_match;Right away, master.;;;;;;;;;;;x;;
learn_ft_3_mismatch;A bit dramatic, don't you think?;;;;;;;;;;;x;;

learn_ft_4_desc_bad;Thinking about it, it shouldn't be too difficult to find a teacher -- you have some on your payroll, after all. A quick trip down to the Divining Guild, and you meet a plethora of possible tutors. You are alarmed at how grim the atmosphere is... everyone here seems shaken or paranoid, and you notice more than one channeler with veiny, blood-shot eyes.  You don't know what the future holds, but from what you see here, you can only assume the worst.;;;;;;;;;;;x;;

learn_ft_4_desc_good;Thinking about it, it shouldn't be too difficult to find a teacher -- you have some on your payroll, after all. A quick trip down to the Divining Guild, and you meet a plethora of possible tutors. The atmosphere of the guild is electric, and you almost feel bad, as though you're interrupting some grand celebration. You don't know what the future holds, but from what you see here, you can only assume the best.;;;;;;;;;;;x;;

learn_ft_4_match;This is a sign!;;;;;;;;;;;x;;
learn_ft_4_mismatch;I'm reading too much into this.;;;;;;;;;;;x;;

tell_fortune_0_bad;Your ominous predictions are nothing more than tired fearmongering. I'll waste no more time listening to them.;;;;;;;;;;;x;;
tell_fortune_0_good;Your tedious predictions are nothing more than fluff and wishful thinking. I'll waste no more time listening to them.;;;;;;;;;;;x;;
tell_fortune_response_0;Bah!;;;;;;;;;;;x;;

tell_fortune_1_bad;Ha! You're parlor tricks amuse me. You lay it on thick with the 'doom and gloom' talk, but it's still entertaining.;;;;;;;;;;;x;;
tell_fortune_1_good;Ha! You're parlor tricks amuse me. You are a bit overbearing with the sunshine and rainbows routine, but at least you see a happy future.;;;;;;;;;;;x;;
tell_fortune_response_1;My predictions aren't to be taken lightly!;;;;;;;;;;;x;;

tell_fortune_2_bad;You dark language intrigues me, oh 'Great Sage'. Perhaps I may get my fortune again some time, to help avoid any malice I might face?;;;;;;;;;;;x;;
tell_fortune_2_good;I'm quite fond of your charming predictions, oh 'Wise One'. Perhaps it wouldn't be too much to ask to get my fortune told again some time?;;;;;;;;;;;x;;
tell_fortune_response_2;I am your humble servant.;;;;;;;;;;;x;;

tell_fortune_3_bad;Your visions have instilled a great fear in me, oh Wise Sage. Knowing what I do now, there is no turning back -- only your words can guide me to safety.;;;;;;;;;;;x;;
tell_fortune_3_good;Your inspirational prophecies have touched my very soul. Perhaps there is some truth to the words you speak?;;;;;;;;;;;x;;
tell_fortune_response_3;Welcome to the fold, child.;;;;;;;;;;;x;;

tell_fortune_4_bad;The dark tidings you've shown me are beyond my comprehension. No one in the world but you can protect me -- and so by your side, shall I stay.;;;;;;;;;;;x;;
tell_fortune_4_good;A true prophet! Your words of compassion spark hope in a weary world! The only place I belong is by your side, upholding the light of your visions!;;;;;;;;;;;x;;
tell_fortune_response_4;It is as I have forseen!;;;;;;;;;;;x;;

#Modifiers
had_fortune_told;Had Fortune Told;;;;;;;;;;;x;;
had_fortune_told_desc;This character has recently had a run-in with a Fortune-Teller, and got their fortune told.;;;;;;;;;;;x;;
opinion_entertained_by_fortunetelling;Entertained;;;;;;;;;;;x;;

#Tooltips
variable_piety_loss;Lose §R500§! Spirituality if your §YIntrigue§! is below 12, or §R100§! Spirituality if it's 12 or higher.
You will begin searching for a teacher to show you the ways of §YFortunetelling§!!;;;;;;;;;;;x;;
fortune_told_recently;Hasn't recently had their fortune told.;;;;;;;;;;;x;;

#MA Modifiers
successful_fortunetelling_ma;Successful Fortunetelling;;;;;;;;;;;x;;
